Date,High,Low,Open,Close,Volume,Adj Close
1990-01-02,7.359375,7.21875,7.234375,7.359375,2910400.0,1.3766288757324219
1990-01-03,7.515625,7.421875,7.421875,7.4375,5712000.0,1.391241431236267
1990-01-04,7.484375,7.421875,7.4375,7.46875,2397600.0,1.3970873355865479
1990-01-05,7.46875,7.390625,7.46875,7.421875,2043200.0,1.3883188962936401
1990-01-08,7.421875,7.328125,7.421875,7.375,1340800.0,1.3795504570007324
1990-01-09,7.421875,7.3125,7.375,7.328125,2283200.0,1.3707820177078247
1990-01-10,7.375,7.296875,7.328125,7.34375,2684800.0,1.373705267906189
1990-01-11,7.375,7.328125,7.34375,7.34375,2259200.0,1.373705267906189
1990-01-12,7.328125,7.203125,7.328125,7.21875,1362400.0,1.35032320022583
1990-01-15,7.203125,7.15625,7.203125,7.1875,1007200.0,1.3444780111312866
1990-01-16,7.15625,7.078125,7.15625,7.125,2668000.0,1.390838623046875
1990-01-17,7.046875,6.8125,7.046875,6.859375,7724000.0,1.3389873504638672
1990-01-18,7.03125,6.6875,6.859375,6.921875,6443200.0,1.3511879444122314
1990-01-19,6.921875,6.84375,6.921875,6.890625,4531200.0,1.3450871706008911
1990-01-22,6.90625,6.765625,6.890625,6.8125,1825600.0,1.3298373222351074
1990-01-23,6.9375,6.796875,6.8125,6.90625,2964800.0,1.3481371402740479
1990-01-24,7.03125,6.78125,6.90625,6.96875,3203200.0,1.3603376150131226
1990-01-25,7.0,6.890625,6.96875,6.890625,1330400.0,1.3450871706008911
1990-01-26,6.921875,6.8125,6.890625,6.859375,1689600.0,1.3389873504638672
1990-01-29,6.890625,6.765625,6.859375,6.828125,1153600.0,1.3328871726989746
1990-01-30,6.84375,6.734375,6.828125,6.8125,1355200.0,1.3298373222351074
1990-01-31,6.9375,6.828125,6.828125,6.921875,3260000.0,1.3511879444122314
1990-02-01,7.0,6.9375,6.9375,6.9375,2389600.0,1.3542379140853882
1990-02-02,7.03125,6.875,6.9375,6.953125,1966400.0,1.3572875261306763
1990-02-05,6.953125,6.875,6.953125,6.90625,1725600.0,1.3481371402740479
1990-02-06,6.890625,6.828125,6.890625,6.875,1142400.0,1.3420376777648926
1990-02-07,6.984375,6.78125,6.875,6.90625,1573600.0,1.3481371402740479
1990-02-08,7.078125,6.90625,6.90625,7.015625,3035200.0,1.3694885969161987
1990-02-09,7.015625,6.921875,7.015625,6.96875,940800.0,1.3603376150131226
1990-02-12,6.9375,6.875,6.9375,6.921875,1288000.0,1.3511879444122314
1990-02-13,6.921875,6.828125,6.921875,6.921875,1884800.0,1.3511879444122314
1990-02-14,6.96875,6.890625,6.921875,6.9375,1682400.0,1.3542379140853882
1990-02-15,7.03125,6.921875,6.9375,6.984375,1418400.0,1.363388180732727
1990-02-16,7.078125,6.984375,6.984375,7.03125,2558400.0,1.3725378513336182
1990-02-20,7.0,6.953125,7.0,7.0,1002400.0,1.3664377927780151
1990-02-21,7.109375,6.875,7.0,7.09375,1913600.0,1.3847383260726929
1990-02-22,7.28125,7.109375,7.109375,7.1875,3349600.0,1.4030394554138184
1990-02-23,7.25,7.140625,7.1875,7.21875,1857600.0,1.4091395139694214
1990-02-26,7.421875,7.265625,7.265625,7.390625,4646400.0,1.4426906108856201
1990-02-27,7.5625,7.359375,7.390625,7.515625,6055200.0,1.4670902490615845
1990-02-28,7.578125,7.5,7.515625,7.578125,3759200.0,1.4792906045913696
1990-03-01,7.5625,7.484375,7.5625,7.546875,2911200.0,1.4731910228729248
1990-03-02,7.765625,7.546875,7.546875,7.765625,7916800.0,1.5158920288085938
1990-03-05,7.796875,7.71875,7.765625,7.796875,2763200.0,1.5219916105270386
1990-03-06,7.84375,7.71875,7.796875,7.84375,3267200.0,1.5311425924301147
1990-03-07,7.859375,7.78125,7.84375,7.796875,2452000.0,1.5219916105270386
1990-03-08,7.8125,7.65625,7.796875,7.796875,3474400.0,1.5219916105270386
1990-03-09,7.765625,7.640625,7.765625,7.75,3742400.0,1.5128426551818848
1990-03-12,7.6875,7.625,7.6875,7.65625,2052800.0,1.4945424795150757
1990-03-13,7.59375,7.40625,7.59375,7.53125,8483200.0,1.4701405763626099
1990-03-14,7.53125,7.453125,7.53125,7.53125,4519200.0,1.4701405763626099
1990-03-15,7.59375,7.515625,7.53125,7.578125,3153600.0,1.4792906045913696
1990-03-16,7.609375,7.5625,7.578125,7.59375,2744800.0,1.4823414087295532
1990-03-19,7.6875,7.515625,7.59375,7.6875,1945600.0,1.5006418228149414
1990-03-20,7.75,7.625,7.6875,7.640625,2611200.0,1.4914915561676025
1990-03-21,7.671875,7.59375,7.640625,7.609375,1560000.0,1.4853914976119995
1990-03-22,7.609375,7.546875,7.609375,7.578125,2002400.0,1.4792906045913696
1990-03-23,7.703125,7.609375,7.609375,7.703125,2882400.0,1.5036916732788086
1990-03-26,7.75,7.671875,7.703125,7.734375,2924000.0,1.5097914934158325
1990-03-27,7.734375,7.640625,7.734375,7.703125,1342400.0,1.5036916732788086
1990-03-28,7.71875,7.65625,7.703125,7.65625,1027200.0,1.4945424795150757
1990-03-29,7.65625,7.59375,7.65625,7.65625,778400.0,1.4945424795150757
1990-03-30,7.65625,7.59375,7.65625,7.640625,1112000.0,1.4914915561676025
1990-04-02,7.578125,7.484375,7.578125,7.515625,2544000.0,1.4670902490615845
1990-04-03,7.625,7.53125,7.53125,7.609375,2569600.0,1.4853914976119995
1990-04-04,7.640625,7.578125,7.609375,7.578125,1610400.0,1.4792906045913696
1990-04-05,7.65625,7.5625,7.578125,7.640625,1200000.0,1.4914915561676025
